name,class,installs,rating,reviews,extension,id
One Dark Pro,dark,5051456,4.6,168,zhuangtongfa.Material-theme,one-dark-pro
Visual Studio C/C++,dual,4695332,3.7,3,ms-vscode.cpptools-themes,c-c++
Github,dual,3504664,4.5,116,GitHub.github-vscode-theme,github
Dracula Official,dark,3364922,4.9,103,dracula-theme.theme-dracula,dracula
Atom One Dark,dark,2951962,4.8,98,akamud.vscode-theme-onedark,atom-one-dark
Winter is Coming,dual,1558028,4.7,35,johnpapa.winteriscoming,winter-is-coming
Monokai Pro,dual,1318719,3.7,188,monokai.theme-monokai-pro-vscode,monokai
Night Owl,dual,1298793,4.8,114,sdras.night-owl,night-owl
One Monokai,dark,1205736,4.9,81,azemoh.one-monokai,one-monokai
Community Material,dual,1191276,4.7,6,Equinusocio.vsc-community-material-theme,material
Ayu,dual,1127068,4.7,92,teabyii.ayu,ayu
Shades of Purple,dark,1122570,4.9,144,ahmadawais.shades-of-purple,shades-of-purple
Material,dual,989586,5,13,Equinusocio.vsc-material-theme,material
Palenight,dark,832384,4.9,56,whizkydee.material-palenight-theme,palenight
Atom One Light,light,639943,4.9,32,akamud.vscode-theme-onelight,atom-one-light
Nord,dark,541929,4.8,65,arcticicestudio.nord-visual-studio-code,nord
Andromeda,dark,387086,5,43,EliverLara.andromeda,andromeda
Tokyo Night,dual,375090,5,38,enkia.tokyo-night,tokyo-night
Gruvbox,dual,215607,5,30,jdinhlife.gruvbox,gruvbox
Netbeans Light,light,87696,4.6,8,obrejla.netbeans-light-theme,netbeans
Plastic,dark,84556,5,34,will-stone.plastic,plastic
Hop Light,light,76483,5,6,bubersson.theme-hop-light,hop
Snazzy Light,light,60368,5,4,loilo.snazzy-light,snazzy
Tiny Light,light,50676,4.8,6,luqimin.tiny-light,tiny
Learn with Sumit,dual,26166,5,427,SumitSaha.learn-with-sumit-theme,learn-with-sumit
